geographicAreaFS,Geographic Area,measuredItemParentFS,Item Parent,measuredItemChildFS,Item Child,timePointYearsSP,Year,Value,Aupus Required
68,France,867,Beef and Veal,875,Beef Preparations [%],2011,2011,1.5,Y
68,France,867,Beef and Veal,877,Homogenized Meat Prep. [%],2011,2011,0.2,Y
70,French Polynesia,574,Pineapples,575,"Pineapples, Canned [%]",2011,2011,20,Y
70,French Polynesia,574,Pineapples,576,Pineapplejuice Sing-Stre [%],2011,2011,20,Y
70,French Polynesia,574,Pineapples,580,Pineapplejuice Concentr. [%],2011,2011,60,Y
70,French Polynesia,619,Fruit Fresh nes,623,Fruit Prepared nes [%],2011,2011,100,Y
74,Gabon,125,Cassava,126,Flour of Cassava [%],2011,2011,0,Y
75,Gambia,49,Malt of Barley,51,Beer of Barley [%],2011,2011,100,Y
75,Gambia,49,Malt of Barley,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
73,Georgia,16,Flour of Wheat,23,Wheat Starch [%],2011,2011,100,Y
73,Georgia,16,Flour of Wheat,24,Wheat Gluten [%],2011,2011,100,Y
73,Georgia,23,Wheat Starch,172,Glucose and Dextrose [%],2011,2011,100,Y
73,Georgia,49,Malt of Barley,51,Beer of Barley [%],2011,2011,100,Y
73,Georgia,56,Maize,58,Flour of Maize [%],2011,2011,100,Y
73,Georgia,56,Maize,59,Bran of Maize [%],2011,2011,100,Y
73,Georgia,164,Sugar Refined,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
73,Georgia,172,Glucose and Dextrose,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
73,Georgia,221,Almonds,231,Almonds Shelled [%],2011,2011,100,Y
73,Georgia,222,Walnuts,232,Walnuts Shelled [%],2011,2011,100,Y
73,Georgia,225,Hazelnuts (Filberts),233,Hazelnuts Shelled [%],2011,2011,100,Y
73,Georgia,234,Nuts nes,235,Preprd Nuts(Excl.Grnuts) [%],2011,2011,100,Y
73,Georgia,236,Soybeans,343,Flour/Meal of Oilseeds [%],2011,2011,100,Y
73,Georgia,463,Vegetables Fresh nes,473,Vegetables Frozen [%],2011,2011,100,Y
73,Georgia,526,Apricots,527,Dry Apricots [%],2011,2011,100,Y
73,Georgia,564,Wine,565,Vermouths and Similar [%],2011,2011,100,Y
73,Georgia,919,"Cattle Hides, Fresh",920,Hides Wet-Salted Cattle [%],2011,2011,50,Y
73,Georgia,919,"Cattle Hides, Fresh",928,Skins Wet-Salt Calves [%],2011,2011,50,Y
73,Georgia,928,Skins Wet-Salt Calves,929,Skins Dry-Salt Calves [%],2011,2011,100,Y
73,Georgia,995,"Sheepskins, Fresh",996,Skin Wet-Salted Sheep [%],2011,2011,50,Y
73,Georgia,995,"Sheepskins, Fresh",999,Skin With Wool Sheep [%],2011,2011,50,Y
73,Georgia,996,Skin Wet-Salted Sheep,997,Skin Dry-Salted Sheep [%],2011,2011,100,Y
73,Georgia,1035,Pigmeat,1038,Pork [%],2011,2011,87,Y
73,Georgia,1035,Pigmeat,1039,Bacon-Ham of Pigs [%],2011,2011,10,Y
73,Georgia,1035,Pigmeat,1040,Pig Butcher Fat [%],2011,2011,87,Y
73,Georgia,1035,Pigmeat,1041,Sausages Pig Meat [%],2011,2011,3,Y
73,Georgia,1058,Chicken Meat,1061,Meat Canned Chicken [%],2011,2011,100,Y
79,Germany,15,Wheat,16,Flour of Wheat [%],2011,2011,99,Y
79,Germany,15,Wheat,17,Bran of Wheat [%],2011,2011,99,Y
79,Germany,15,Wheat,41,Breakfast Cereals [%],2011,2011,1,Y
79,Germany,29,Milled/Husked Rice,32,"Rice, Broken [%]",2011,2011,100,Y
79,Germany,32,"Rice, Broken",33,Rice Gluten [%],2011,2011,100,Y
79,Germany,32,"Rice, Broken",34,"Rice, Starch [%]",2011,2011,100,Y
79,Germany,49,Malt of Barley,51,Beer of Barley [%],2011,2011,100,Y
79,Germany,49,Malt of Barley,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
79,Germany,56,Maize,57,Germ of Maize [%],2011,2011,100,Y
79,Germany,56,Maize,58,Flour of Maize [%],2011,2011,100,Y
79,Germany,56,Maize,59,Bran of Maize [%],2011,2011,100,Y
79,Germany,58,Flour of Maize,63,Maize Gluten [%],2011,2011,100,Y
79,Germany,58,Flour of Maize,64,Starch of Maize [%],2011,2011,100,Y
79,Germany,71,Rye,72,Flour of Rye [%],2011,2011,66,Y
79,Germany,71,Rye,73,Bran of Rye [%],2011,2011,66,Y
79,Germany,71,Rye,634,Beverages Dist Alcoholic [%],2011,2011,34,Y
79,Germany,71,Rye,654,Dregs from Brewing+Dist. [%],2011,2011,34,Y
79,Germany,116,Potatoes,117,Flour of Potatoes [%],2011,2011,18,Y
79,Germany,116,Potatoes,119,Potato Starch [%],2011,2011,75,Y
79,Germany,116,Potatoes,634,Beverages Dist Alcoholic [%],2011,2011,7,Y
79,Germany,116,Potatoes,654,Dregs from Brewing+Dist. [%],2011,2011,7,Y
79,Germany,165,Molasses,632,Alcohol Non Food Purpose [%],2011,2011,70,Y
79,Germany,165,Molasses,634,Beverages Dist Alcoholic [%],2011,2011,30,Y
79,Germany,172,Glucose and Dextrose,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
79,Germany,236,Soybeans,237,Oil of Soya Beans [%],2011,2011,100,Y
79,Germany,236,Soybeans,238,Cake of Soya Beans [%],2011,2011,100,Y
79,Germany,257,Oil of Palm,1275,Oils Hydrogenated [%],2011,2011,100,Y
79,Germany,271,Oil of Rapeseed,1242,Margarine + Shortening [%],2011,2011,100,Y
79,Germany,490,Oranges,491,Oranjuice Single-Strengt [%],2011,2011,0,Y
79,Germany,490,Oranges,492,Oranjuice Concentrated [%],2011,2011,0,Y
79,Germany,490,Oranges,622,Fruit Juice nes [%],2011,2011,100,Y
79,Germany,515,Apples,517,Ferm. Beverages Exc Wine [%],2011,2011,100,Y
79,Germany,521,Pears,626,Homogen.Cooked Fruit Pre [%],2011,2011,100,Y
79,Germany,531,Cherries,620,Fruit Dried nes [%],2011,2011,0,Y
79,Germany,531,Cherries,622,Fruit Juice nes [%],2011,2011,0,Y
79,Germany,531,Cherries,628,Fruit Pulp for Feed [%],2011,2011,0,Y
79,Germany,534,Peaches and Nectarines,622,Fruit Juice nes [%],2011,2011,0,Y
79,Germany,534,Peaches and Nectarines,623,Fruit Prepared nes [%],2011,2011,0,Y
79,Germany,534,Peaches and Nectarines,626,Homogen.Cooked Fruit Pre [%],2011,2011,0,Y
79,Germany,534,Peaches and Nectarines,628,Fruit Pulp for Feed [%],2011,2011,0,Y
79,Germany,547,Raspberries,622,Fruit Juice nes [%],2011,2011,0,Y
79,Germany,547,Raspberries,628,Fruit Pulp for Feed [%],2011,2011,0,Y
79,Germany,549,Gooseberries,622,Fruit Juice nes [%],2011,2011,0,Y
79,Germany,549,Gooseberries,628,Fruit Pulp for Feed [%],2011,2011,0,Y
79,Germany,550,Currants,622,Fruit Juice nes [%],2011,2011,0,Y
79,Germany,550,Currants,628,Fruit Pulp for Feed [%],2011,2011,0,Y
79,Germany,552,Blueberries,622,Fruit Juice nes [%],2011,2011,0,Y
79,Germany,552,Blueberries,628,Fruit Pulp for Feed [%],2011,2011,0,Y
79,Germany,560,Grapes,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
79,Germany,619,Fruit Fresh nes,622,Fruit Juice nes [%],2011,2011,100,Y
79,Germany,619,Fruit Fresh nes,623,Fruit Prepared nes [%],2011,2011,0,Y
79,Germany,656,"Coffee, Green",657,Coffee Roasted [%],2011,2011,80,Y
79,Germany,656,"Coffee, Green",659,Coffee Extracts [%],2011,2011,20,Y
79,Germany,867,Beef and Veal,870,"Beef and Veal,Boneless [%]",2011,2011,95,Y
79,Germany,867,Beef and Veal,871,Cattle Butcher Fat [%],2011,2011,95,Y
79,Germany,867,Beef and Veal,875,Beef Preparations [%],2011,2011,5,Y
79,Germany,1038,Pork,1042,Meat Preparations Pigs [%],2011,2011,100,Y
79,Germany,1058,Chicken Meat,1059,Offals Liver of Chickens [%],2011,2011,50,Y
79,Germany,1058,Chicken Meat,1065,Fat of Poultry [%],2011,2011,50,Y
79,Germany,1080,Turkey Meat,1081,Offals Liver Turkeys [%],2011,2011,100,Y
79,Germany,1163,Game Meat,1164,"Meat, Dried, nes [%]",2011,2011,60,Y
79,Germany,1163,Game Meat,1167,Offals nes [%],2011,2011,20,Y
79,Germany,1168,Animal Oils and Fats nes,1225,Tallow [%],2011,2011,0,Y
79,Germany,1168,Animal Oils and Fats nes,1243,Fat Preparations nes [%],2011,2011,100,Y
81,Ghana,249,Coconuts,250,"Coconuts, Dessicated [%]",2011,2011,10,Y
81,Ghana,249,Coconuts,251,Copra [%],2011,2011,90,Y
81,Ghana,574,Pineapples,575,"Pineapples, Canned [%]",2011,2011,100,Y
81,Ghana,574,Pineapples,628,Fruit Pulp for Feed [%],2011,2011,100,Y
81,Ghana,619,Fruit Fresh nes,622,Fruit Juice nes [%],2011,2011,45,Y
81,Ghana,619,Fruit Fresh nes,623,Fruit Prepared nes [%],2011,2011,45,Y
81,Ghana,619,Fruit Fresh nes,624,Flour of Fruit [%],2011,2011,10,Y
81,Ghana,656,"Coffee, Green",657,Coffee Roasted [%],2011,2011,50,Y
81,Ghana,656,"Coffee, Green",658,Coffee Subst Cont Coffee [%],2011,2011,50,Y
81,Ghana,656,"Coffee, Green",659,Coffee Extracts [%],2011,2011,50,Y
81,Ghana,665,Cocoa Powder and Cake,666,Chocolate Products nes [%],2011,2011,100,Y
84,Greece,27,"Rice, Paddy",28,"Rice, Husked [%]",2011,2011,10,Y
84,Greece,27,"Rice, Paddy",31,Milled Paddy Rice [%],2011,2011,90,Y
84,Greece,44,Barley,45,Pot Barley [%],2011,2011,2,Y
84,Greece,44,Barley,47,Bran of Barley [%],2011,2011,2,Y
84,Greece,44,Barley,49,Malt of Barley [%],2011,2011,98,Y
84,Greece,45,Pot Barley,46,"Barley, Pearled [%]",2011,2011,100,Y
84,Greece,45,Pot Barley,48,Barley Flour and Grits [%],2011,2011,100,Y
84,Greece,236,Soybeans,237,Oil of Soya Beans [%],2011,2011,100,Y
84,Greece,236,Soybeans,238,Cake of Soya Beans [%],2011,2011,100,Y
84,Greece,463,Vegetables Fresh nes,469,Vegetables Dehydrated [%],2011,2011,60,Y
84,Greece,463,Vegetables Fresh nes,474,Veg. in Temp Preservativ [%],2011,2011,30,Y
84,Greece,463,Vegetables Fresh nes,476,Homogenized Veget. Prep. [%],2011,2011,10,Y
84,Greece,490,Oranges,491,Oranjuice Single-Strengt [%],2011,2011,40,Y
84,Greece,490,Oranges,492,Oranjuice Concentrated [%],2011,2011,10,Y
84,Greece,871,Cattle Butcher Fat,1168,Animal Oils and Fats nes [%],2011,2011,5,Y
84,Greece,871,Cattle Butcher Fat,1225,Tallow [%],2011,2011,95,Y
84,Greece,1058,Chicken Meat,1059,Offals Liver of Chickens [%],2011,2011,0,Y
84,Greece,1062,Hen Eggs,1063,Eggs Liquid Hen [%],2011,2011,100,Y
84,Greece,1062,Hen Eggs,1064,Eggs Dry Whole Yolks Hen [%],2011,2011,0,Y
84,Greece,1166,Meat nes,1164,"Meat, Dried, nes [%]",2011,2011,5,Y
89,Guatemala,27,"Rice, Paddy",28,"Rice, Husked [%]",2011,2011,2,Y
89,Guatemala,27,"Rice, Paddy",31,Milled Paddy Rice [%],2011,2011,98,Y
89,Guatemala,64,Starch of Maize,172,Glucose and Dextrose [%],2011,2011,100,Y
89,Guatemala,125,Cassava,127,Cassava Tapioca [%],2011,2011,0,Y
89,Guatemala,125,Cassava,128,Cassava Dried [%],2011,2011,100,Y
89,Guatemala,164,Sugar Refined,167,Sugar and Syrups nes [%],2011,2011,20,Y
89,Guatemala,164,Sugar Refined,168,Sugar Confectionery [%],2011,2011,80,Y
89,Guatemala,172,Glucose and Dextrose,633,Beverages Non-Alcoholic [%],2011,2011,100,Y
89,Guatemala,211,Pulses nes,212,Flour of Pulses [%],2011,2011,100,Y
89,Guatemala,211,Pulses nes,213,Bran of Pulses [%],2011,2011,100,Y
89,Guatemala,243,Groundnuts Shelled,244,Oil of Groundnuts [%],2011,2011,100,Y
89,Guatemala,243,Groundnuts Shelled,245,Cake of Groundnuts [%],2011,2011,100,Y
89,Guatemala,257,Oil of Palm,1242,Margarine + Shortening [%],2011,2011,42,Y
89,Guatemala,257,Oil of Palm,1275,Oils Hydrogenated [%],2011,2011,58,Y
89,Guatemala,258,Oil of Palm Kernels,1275,Oils Hydrogenated [%],2011,2011,0,Y
89,Guatemala,289,Sesame Seed,290,Oil of Sesame Seed [%],2011,2011,100,Y
89,Guatemala,289,Sesame Seed,291,Cake of Sesame Seed [%],2011,2011,100,Y
89,Guatemala,358,Cabbages,472,Vegetables Prepared nes [%],2011,2011,100,Y
89,Guatemala,403,"Onions, Dry",471,Vegetables Pr by Vinegar [%],2011,2011,100,Y
89,Guatemala,463,Vegetables Fresh nes,472,Vegetables Prepared nes [%],2011,2011,0,Y
89,Guatemala,463,Vegetables Fresh nes,473,Vegetables Frozen [%],2011,2011,100,Y
89,Guatemala,486,Bananas,604,Fruit Tropical Dried nes [%],2011,2011,100,Y
89,Guatemala,490,Oranges,492,Oranjuice Concentrated [%],2011,2011,100,Y
89,Guatemala,490,Oranges,628,Fruit Pulp for Feed [%],2011,2011,100,Y
89,Guatemala,512,Citrus Fruit nes,513,Citrusjuice Single-Stren [%],2011,2011,10,Y
89,Guatemala,512,Citrus Fruit nes,622,Fruit Juice nes [%],2011,2011,90,Y
89,Guatemala,515,Apples,517,Ferm. Beverages Exc Wine [%],2011,2011,5,Y
89,Guatemala,515,Apples,518,Applejuice Single Streng [%],2011,2011,95,Y
89,Guatemala,515,Apples,628,Fruit Pulp for Feed [%],2011,2011,95,Y
89,Guatemala,515,Apples,654,Dregs from Brewing+Dist. [%],2011,2011,5,Y
89,Guatemala,574,Pineapples,575,"Pineapples, Canned [%]",2011,2011,100,Y
89,Guatemala,574,Pineapples,576,Pineapplejuice Sing-Stre [%],2011,2011,100,Y
89,Guatemala,574,Pineapples,622,Fruit Juice nes [%],2011,2011,0,Y
89,Guatemala,1225,Tallow,1243,Fat Preparations nes [%],2011,2011,100,Y
90,Guinea,15,Wheat,16,Flour of Wheat [%],2011,2011,100,Y
90,Guinea,15,Wheat,17,Bran of Wheat [%],2011,2011,100,Y
90,Guinea,125,Cassava,126,Flour of Cassava [%],2011,2011,99,Y
90,Guinea,125,Cassava,128,Cassava Dried [%],2011,2011,1,Y
90,Guinea,217,Cashew Nuts,230,Cáshew Nuts Shelled [%],2011,2011,100,Y
90,Guinea,836,Natural Rubber,837,Rubber Natural Dry [%],2011,2011,100,Y
90,Guinea,919,"Cattle Hides, Fresh",920,Hides Wet-Salted Cattle [%],2011,2011,50,Y
90,Guinea,919,"Cattle Hides, Fresh",928,Skins Wet-Salt Calves [%],2011,2011,50,Y
91,Guyana,165,Molasses,634,Beverages Dist Alcoholic [%],2011,2011,100,Y
91,Guyana,603,Fruit Tropical Fresh nes,623,Fruit Prepared nes [%],2011,2011,100,Y
91,Guyana,1275,Oils Hydrogenated,1242,Margarine + Shortening [%],2011,2011,100,Y
95,Honduras,164,Sugar Refined,167,Sugar and Syrups nes [%],2011,2011,100,Y
95,Honduras,328,Seed Cotton,769,Cotton Waste [%],2011,2011,100,Y
95,Honduras,490,Oranges,491,Oranjuice Single-Strengt [%],2011,2011,25,Y
95,Honduras,490,Oranges,492,Oranjuice Concentrated [%],2011,2011,75,Y
95,Honduras,515,Apples,517,Ferm. Beverages Exc Wine [%],2011,2011,100,Y
95,Honduras,515,Apples,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
95,Honduras,574,Pineapples,628,Fruit Pulp for Feed [%],2011,2011,100,Y
95,Honduras,904,Cheese (Skim Cow Milk),907,Processed Cheese [%],2011,2011,100,Y
95,Honduras,919,"Cattle Hides, Fresh",920,Hides Wet-Salted Cattle [%],2011,2011,95,Y
95,Honduras,919,"Cattle Hides, Fresh",928,Skins Wet-Salt Calves [%],2011,2011,5,Y
95,Honduras,1096,Horses,1102,"Horse Hides, Fresh [%]",2011,2011,100,Y
95,Honduras,1102,"Horse Hides, Fresh",1103,Hides Wet-Salted Horses [%],2011,2011,100,Y
97,Hungary,23,Wheat Starch,166,Other Fructose and Syrup [%],2011,2011,100,Y
97,Hungary,23,Wheat Starch,172,Glucose and Dextrose [%],2011,2011,0,Y
97,Hungary,101,Canary Seed,111,Flour of Cereals [%],2011,2011,100,Y
97,Hungary,101,Canary Seed,112,Bran of Cereals [%],2011,2011,100,Y
97,Hungary,221,Almonds,231,Almonds Shelled [%],2011,2011,100,Y
97,Hungary,243,Groundnuts Shelled,235,Preprd Nuts(Excl.Grnuts) [%],2011,2011,70,Y
97,Hungary,243,Groundnuts Shelled,244,Oil of Groundnuts [%],2011,2011,0,Y
97,Hungary,243,Groundnuts Shelled,245,Cake of Groundnuts [%],2011,2011,0,Y
97,Hungary,243,Groundnuts Shelled,246,Prepared Groundnuts [%],2011,2011,30,Y
97,Hungary,292,Mustard Seed,293,Oil of Mustard Seed [%],2011,2011,0,Y
97,Hungary,292,Mustard Seed,295,Flour of Mustard [%],2011,2011,100,Y
97,Hungary,329,Cottonseed,770,Cotton Linter [%],2011,2011,100,Y
97,Hungary,373,Spinach,474,Veg. in Temp Preservativ [%],2011,2011,100,Y
97,Hungary,563,Must of Grapes,562,Grape Juice [%],2011,2011,100,Y
97,Hungary,564,Wine,565,Vermouths and Similar [%],2011,2011,100,Y
97,Hungary,574,Pineapples,576,Pineapplejuice Sing-Stre [%],2011,2011,100,Y
97,Hungary,574,Pineapples,628,Fruit Pulp for Feed [%],2011,2011,100,Y
97,Hungary,656,"Coffee, Green",657,Coffee Roasted [%],2011,2011,0,Y
97,Hungary,656,"Coffee, Green",658,Coffee Subst Cont Coffee [%],2011,2011,3,Y
97,Hungary,656,"Coffee, Green",659,Coffee Extracts [%],2011,2011,97,Y
97,Hungary,866,Cattle,919,"Cattle Hides, Fresh [%]",2011,2011,100,Y
97,Hungary,867,Beef and Veal,870,"Beef and Veal,Boneless [%]",2011,2011,100,Y
97,Hungary,867,Beef and Veal,871,Cattle Butcher Fat [%],2011,2011,100,Y
97,Hungary,867,Beef and Veal,872,Beef Dried Salt Smoked [%],2011,2011,0,Y
97,Hungary,867,Beef and Veal,875,Beef Preparations [%],2011,2011,0,Y
97,Hungary,867,Beef and Veal,877,Homogenized Meat Prep. [%],2011,2011,0,Y
97,Hungary,870,"Beef and Veal,Boneless",872,Beef Dried Salt Smoked [%],2011,2011,100,Y
97,Hungary,870,"Beef and Veal,Boneless",875,Beef Preparations [%],2011,2011,100,Y
97,Hungary,871,Cattle Butcher Fat,1168,Animal Oils and Fats nes [%],2011,2011,100,Y
97,Hungary,920,Hides Wet-Salted Cattle,921,Hides Dry-Salted Cattle [%],2011,2011,100,Y
97,Hungary,976,Sheep,995,"Sheepskins, Fresh [%]",2011,2011,100,Y
97,Hungary,1016,Goats,1017,Goat Meat [%],2011,2011,100,Y
97,Hungary,1016,Goats,1018,"Offals of Goats, Edible [%]",2011,2011,100,Y
97,Hungary,1016,Goats,1019,Fat of Goats [%],2011,2011,100,Y
97,Hungary,1016,Goats,1025,"Goatskins, Fresh [%]",2011,2011,100,Y
97,Hungary,1025,"Goatskins, Fresh",1026,Skins Wet-Salted Goats [%],2011,2011,100,Y
97,Hungary,1035,Pigmeat,1039,Bacon-Ham of Pigs [%],2011,2011,12,Y
97,Hungary,1035,Pigmeat,1041,Sausages Pig Meat [%],2011,2011,1,Y
97,Hungary,1057,Chickens,1059,Offals Liver of Chickens [%],2011,2011,0,Y
97,Hungary,1058,Chicken Meat,1059,Offals Liver of Chickens [%],2011,2011,36,Y
97,Hungary,1058,Chicken Meat,1060,Fat Liver Prep(Foie Gras [%],2011,2011,1,Y
97,Hungary,1058,Chicken Meat,1061,Meat Canned Chicken [%],2011,2011,45,Y
97,Hungary,1058,Chicken Meat,1065,Fat of Poultry [%],2011,2011,18,Y
97,Hungary,1068,Ducks,1069,Duck Meat [%],2011,2011,90,Y
97,Hungary,1068,Ducks,1070,Indigenous Duck Meat [%],2011,2011,90,Y
97,Hungary,1068,Ducks,1071,Biological Duck Meat [%],2011,2011,90,Y
97,Hungary,1068,Ducks,1075,Offals Liver Ducks [%],2011,2011,10,Y
97,Hungary,1182,Honey,517,Ferm. Beverages Exc Wine [%],2011,2011,0,Y
99,Iceland,31,Milled Paddy Rice,32,"Rice, Broken [%]",2011,2011,100,Y
99,Iceland,867,Beef and Veal,873,Meat Extracts [%],2011,2011,50,Y
99,Iceland,867,Beef and Veal,1172,Meat Prepared nes [%],2011,2011,50,Y
99,Iceland,1225,Tallow,1276,Fatty Acids Oils 431.31 [%],2011,2011,100,Y
100,India,16,Flour of Wheat,18,Macaroni [%],2011,2011,10,Y
100,India,16,Flour of Wheat,20,Bread [%],2011,2011,5,Y
100,India,16,Flour of Wheat,22,Pastry [%],2011,2011,75,Y
100,India,16,Flour of Wheat,23,Wheat Starch [%],2011,2011,10,Y
100,India,16,Flour of Wheat,24,Wheat Gluten [%],2011,2011,10,Y
100,India,27,"Rice, Paddy",28,"Rice, Husked [%]",2011,2011,0.5,Y
100,India,27,"Rice, Paddy",31,Milled Paddy Rice [%],2011,2011,99.5,Y
100,India,27,"Rice, Paddy",35,Bran of Rice [%],2011,2011,99.5,Y
100,India,34,"Rice, Starch",172,Glucose and Dextrose [%],2011,2011,100,Y
100,India,49,Malt of Barley,50,Malt Extracts [%],2011,2011,100,Y
100,India,49,Malt of Barley,172,Glucose and Dextrose [%],2011,2011,0,Y
100,India,50,Malt Extracts,654,Dregs from Brewing+Dist. [%],2011,2011,100,Y
100,India,125,Cassava,126,Flour of Cassava [%],2011,2011,90,Y
100,India,125,Cassava,129,Cassava Starch [%],2011,2011,5,Y
100,India,164,Sugar Refined,168,Sugar Confectionery [%],2011,2011,80,Y
100,India,164,Sugar Refined,633,Beverages Non-Alcoholic [%],2011,2011,10,Y
100,India,236,Soybeans,237,Oil of Soya Beans [%],2011,2011,0,Y
100,India,236,Soybeans,238,Cake of Soya Beans [%],2011,2011,0,Y
100,India,328,Seed Cotton,769,Cotton Waste [%],2011,2011,100,Y
100,India,449,Mushrooms,450,Dried Mushrooms [%],2011,2011,20,Y
100,India,449,Mushrooms,451,Canned Mushrooms [%],2011,2011,80,Y
100,India,463,Vegetables Fresh nes,469,Vegetables Dehydrated [%],2011,2011,25,Y
100,India,463,Vegetables Fresh nes,471,Vegetables Pr by Vinegar [%],2011,2011,20,Y
100,India,463,Vegetables Fresh nes,472,Vegetables Prepared nes [%],2011,2011,15,Y
100,India,463,Vegetables Fresh nes,473,Vegetables Frozen [%],2011,2011,23,Y
100,India,515,Apples,628,Fruit Pulp for Feed [%],2011,2011,50,Y
100,India,515,Apples,654,Dregs from Brewing+Dist. [%],2011,2011,50,Y
100,India,560,Grapes,561,Raisins [%],2011,2011,100,Y
100,India,571,Mangoes,628,Fruit Pulp for Feed [%],2011,2011,0,Y
100,India,574,Pineapples,628,Fruit Pulp for Feed [%],2011,2011,100,Y
100,India,619,Fruit Fresh nes,623,Fruit Prepared nes [%],2011,2011,5,Y
100,India,619,Fruit Fresh nes,624,Flour of Fruit [%],2011,2011,15,Y
100,India,619,Fruit Fresh nes,628,Fruit Pulp for Feed [%],2011,2011,40,Y
100,India,656,"Coffee, Green",657,Coffee Roasted [%],2011,2011,2,Y
100,India,656,"Coffee, Green",658,Coffee Subst Cont Coffee [%],2011,2011,1,Y
100,India,656,"Coffee, Green",659,Coffee Extracts [%],2011,2011,97,Y
100,India,867,Beef and Veal,870,"Beef and Veal,Boneless [%]",2011,2011,47,Y
100,India,867,Beef and Veal,871,Cattle Butcher Fat [%],2011,2011,47,Y
100,India,867,Beef and Veal,872,Beef Dried Salt Smoked [%],2011,2011,2,Y
100,India,867,Beef and Veal,873,Meat Extracts [%],2011,2011,49,Y
100,India,867,Beef and Veal,875,Beef Preparations [%],2011,2011,1,Y
100,India,867,Beef and Veal,877,Homogenized Meat Prep. [%],2011,2011,1,Y
100,India,868,"Offals of Cattle, Edible",878,Liver Preparations [%],2011,2011,100,Y
100,India,885,"Cream, Fresh",907,Processed Cheese [%],2011,2011,100,Y
100,India,903,"Whey, Fresh",900,Dry Whey [%],2011,2011,100,Y
100,India,1062,Hen Eggs,1063,Eggs Liquid Hen [%],2011,2011,10,Y
100,India,1062,Hen Eggs,1064,Eggs Dry Whole Yolks Hen [%],2011,2011,90,Y
101,Indonesia,32,"Rice, Broken",33,Rice Gluten [%],2011,2011,50,Y
101,Indonesia,32,"Rice, Broken",34,"Rice, Starch [%]",2011,2011,50,Y
101,Indonesia,32,"Rice, Broken",38,Rice Flour [%],2011,2011,50,Y
101,Indonesia,49,Malt of Barley,50,Malt Extracts [%],2011,2011,15,Y
101,Indonesia,49,Malt of Barley,51,Beer of Barley [%],2011,2011,85,Y
101,Indonesia,49,Malt of Barley,654,Dregs from Brewing+Dist. [%],2011,2011,85,Y
101,Indonesia,56,Maize,41,Breakfast Cereals [%],2011,2011,1,Y
101,Indonesia,56,Maize,57,Germ of Maize [%],2011,2011,98,Y
101,Indonesia,56,Maize,58,Flour of Maize [%],2011,2011,98,Y
101,Indonesia,56,Maize,59,Bran of Maize [%],2011,2011,98,Y
101,Indonesia,156,Sugar Cane,158,Cane Sugar [%],2011,2011,100,Y
101,Indonesia,156,Sugar Cane,165,Molasses [%],2011,2011,100,Y
101,Indonesia,156,Sugar Cane,170,Bagasse [%],2011,2011,100,Y
101,Indonesia,236,Soybeans,237,Oil of Soya Beans [%],2011,2011,99,Y
101,Indonesia,236,Soybeans,238,Cake of Soya Beans [%],2011,2011,99,Y
101,Indonesia,236,Soybeans,239,Soya Sauce [%],2011,2011,1,Y
101,Indonesia,252,Oil of Coconuts,1274,Oils Boiled etc [%],2011,2011,100,Y
101,Indonesia,515,Apples,517,Ferm. Beverages Exc Wine [%],2011,2011,30,Y
101,Indonesia,515,Apples,518,Applejuice Single Streng [%],2011,2011,70,Y
101,Indonesia,515,Apples,628,Fruit Pulp for Feed [%],2011,2011,70,Y
101,Indonesia,515,Apples,654,Dregs from Brewing+Dist. [%],2011,2011,30,Y
101,Indonesia,656,"Coffee, Green",658,Coffee Subst Cont Coffee [%],2011,2011,10,Y
101,Indonesia,656,"Coffee, Green",659,Coffee Extracts [%],2011,2011,80,Y
101,Indonesia,1035,Pigmeat,1038,Pork [%],2011,2011,50,Y
101,Indonesia,1035,Pigmeat,1040,Pig Butcher Fat [%],2011,2011,50,Y
101,Indonesia,1035,Pigmeat,1041,Sausages Pig Meat [%],2011,2011,40,Y
102,"Iran, Islamic Rep of",16,Flour of Wheat,18,Macaroni [%],2011,2011,51,Y
102,"Iran, Islamic Rep of",16,Flour of Wheat,20,Bread [%],2011,2011,1,Y
102,"Iran, Islamic Rep of",16,Flour of Wheat,22,Pastry [%],2011,2011,45,Y
102,"Iran, Islamic Rep of",16,Flour of Wheat,23,Wheat Starch [%],2011,2011,1,Y
102,"Iran, Islamic Rep of",16,Flour of Wheat,24,Wheat Gluten [%],2011,2011,1,Y
102,"Iran, Islamic Rep of",16,Flour of Wheat,110,Wafers [%],2011,2011,2,Y
102,"Iran, Islamic Rep of",31,Milled Paddy Rice,32,"Rice, Broken [%]",2011,2011,10,Y
102,"Iran, Islamic Rep of",31,Milled Paddy Rice,41,Breakfast Cereals [%],2011,2011,90,Y
102,"Iran, Islamic Rep of",32,"Rice, Broken",34,"Rice, Starch [%]",2011,2011,90,Y
102,"Iran, Islamic Rep of",32,"Rice, Broken",38,Rice Flour [%],2011,2011,10,Y
